"id","code","name","snap_acquirer_id:id"
"izi_payment_midtrans.data_payment_type_credit_card","credit_card","Credit Card","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_bca_va","bca_va","BCA Virtual Account","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_permata_va","permata_va","Permata Virtual Account","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_bni_va","bni_va","BNI Virtual Account","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_echannel","echannel","Mandiri Bill","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_gopay","gopay","GoPay","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_bca_klikbca","bca_klikbca","KlikBCA","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_bca_klikpay","bca_klikpay","BCA KlikPay","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_mandiri_clickpay","mandiri_clickpay","Mandiri Clickpay","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_cimb_clicks","cimb_clicks","CIMB Clicks","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_danamon_online","danamon_online","Danamon Online Banking","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_bri_epay","bri_epay","BRI Epay","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_indomaret","indomaret","Indomaret","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_alfamart","alfamart","Alfamart","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_akulaku","akulaku","Akulaku","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_telkomsel_cash","telkomsel_cash","Telkomsel TCASH","izi_payment_midtrans.payment_acquirer_midtrans"
"izi_payment_midtrans.data_payment_type_other_va","other_va","Other Virtual Account","izi_payment_midtrans.payment_acquirer_midtrans"
